,recipe_urls
60,https://www.sanjeevkapoor.com/Recipe/Dal-Soya-Parantha-Turban-Tadka-FoodFood.html
61,https://www.sanjeevkapoor.com/Recipe/Sambousek-Turban-Tadka-FoodFood.html
62,https://www.sanjeevkapoor.com/Recipe/Mughal-Sarai-Dal-Kachori-Turban-Tadka-FoodFood.html
63,https://www.sanjeevkapoor.com/Recipe/Gulab-Jamun-Kheer-Turban-Tadka-FoodFood.html
64,https://www.sanjeevkapoor.com/Recipe/Papaya-Parantha-Turban-Tadka-FoodFood.html
65,https://www.sanjeevkapoor.com/Recipe/Mixed-Palak-Soya-Saag-Turban-Tadka-FoodFood.html
66,https://www.sanjeevkapoor.com/Recipe/Lachchedar-Mathri-Turban-Tadka-FoodFood.html
67,https://www.sanjeevkapoor.com/Recipe/Sadak-Chaap-Egg-Fried-Rice-Turban-Tadka-FoodFood.html
68,https://www.sanjeevkapoor.com/Recipe/Boiled-Egg-Bhurjee-Turban-Tadka-FoodFood.html
69,https://www.sanjeevkapoor.com/Recipe/Ande-ka-Halwa--Turban-Tadka-FoodFood.html
70,https://www.sanjeevkapoor.com/Recipe/Kadai-Kala-Chana-Turban-Tadka-FoodFood.html
71,https://www.sanjeevkapoor.com/Recipe/Chocolate-and-Cheese-Sandwich-Turban-Tadka-FoodFood.html
72,https://www.sanjeevkapoor.com/Recipe/Bhindi-Methi-Bhurjee-Turban-Tadka-FoodFood.html
73,https://www.sanjeevkapoor.com/Recipe/Spinach-Fried-Rice-Turban-Tadka-FoodFood.html
74,https://www.sanjeevkapoor.com/Recipe/Chocolate-and-Coconut-Dim-sums-Turban-Tadka-FoodFood.html
75,https://www.sanjeevkapoor.com/Recipe/Chilli-Chana-Aloo-Turban-Tadka-FoodFood.html
76,https://www.sanjeevkapoor.com/Recipe/Homemade-Caramel-Ice-Cream-Turban-Tadka-FoodFood.html
77,https://www.sanjeevkapoor.com/Recipe/Gahat-ka-Shorba-Turban-Tadka-FoodFood.html
78,https://www.sanjeevkapoor.com/Recipe/Anardana-Pahadi-Mutton-Turban-Tadka-FoodFood.html
79,https://www.sanjeevkapoor.com/Recipe/Strawberry-Shahi-Tukda---Turban-Tadka-FoodFood.html
80,https://www.sanjeevkapoor.com/Recipe/Methi-Tamatar-ki-Sabzi-Turban-Tadka-FoodFood.html
81,https://www.sanjeevkapoor.com/Recipe/Cheese-Chicken-Roll-with-Mint-Mayo-Turban-Tadka-FoodFood.html
82,https://www.sanjeevkapoor.com/Recipe/Strawberry-Kalakand-Turban-Tadka-FoodFood.html
83,https://www.sanjeevkapoor.com/Recipe/Masala-Aloo-Kulcha-+-Tamatar-ki-Chutney-Turban-Tadka-FoodFood.html
84,https://www.sanjeevkapoor.com/Recipe/Kulcha-Pizza-Turban-Tadka-FoodFood.html
85,https://www.sanjeevkapoor.com/Recipe/Corn-Cheese-Balls----Turban-Tadka-FoodFood.html
86,https://www.sanjeevkapoor.com/Recipe/Caramel-Walnut-Fudge-Turban-Tadka-FoodFood.html
87,https://www.sanjeevkapoor.com/Recipe/Bhindi-Hara-Masala-Turban-Tadka-FoodFood.html
88,https://www.sanjeevkapoor.com/Recipe/Kaddu-ki-Khatti-Meethi-Subzi-Turban-Tadka-FoodFood.html
89,https://www.sanjeevkapoor.com/Recipe/Gobhi-Aloo-Chaat-Pakoda-Turban-Tadka-FoodFood.html
90,https://www.sanjeevkapoor.com/Recipe/Bathue-ka-Parantha-Turban-Tadka-FoodFood.html
91,https://www.sanjeevkapoor.com/Recipe/Strawberry-Matcha-Smoothie-Bowl-Sanjeev-Kapoor-Kitchen-FoodFood.html
92,https://www.sanjeevkapoor.com/Recipe/Papaya-Smoothie-Bowl-Sanjeev-Kapoor-Kitchen-FoodFood.html
93,https://www.sanjeevkapoor.com/Recipe/Green-Smoothie-Bowl-Sanjeev-Kapoor-Kitchen-FoodFood.html
94,https://www.sanjeevkapoor.com/Recipe/Prawn-Curry-with-Raw-Mangoes-Sanjeev-Kapoor-Kitchen-FoodFood.html
95,https://www.sanjeevkapoor.com/Recipe/Orange-and-Quinoa-Salad-Sanjeev-Kapoor-Kitchen-FoodFood.html
96,https://www.sanjeevkapoor.com/Recipe/Brown-Rice-Pulao-with-Prawns-and-Sausages-Sanjeev-Kapoor-Kitchen-FoodFood.html
97,https://www.sanjeevkapoor.com/Recipe/Thai-Green-Curry-Chicken-Rice-Sanjeev-Kapoor-Kitchen-FoodFood.html
98,https://www.sanjeevkapoor.com/Recipe/Pot-Roast-Vegetable-Stew-Sanjeev-Kapoor-Kitchen-FoodFood.html
99,https://www.sanjeevkapoor.com/Recipe/Broccoli-&-Cheese-Soup-Sanjeev-Kapoor-Kitchen-FoodFood.html
100,https://www.sanjeevkapoor.com/Recipe/Quinoa-Chole-Sanjeev-Kapoor-Kitchen-FoodFood.html
101,https://www.sanjeevkapoor.com/Recipe/Molagapodi-Crusted-Fish-with-Vegetable-Spaghetti-Sanjeev-Kapoor-Kitchen-FoodFood.html
102,https://www.sanjeevkapoor.com/Recipe/Cauliflower-Pizza-Sanjeev-Kapoor-Kitchen-FoodFood.html
103,https://www.sanjeevkapoor.com/Recipe/Squid-Fry-Turban-Tadka-FoodFood.html
104,https://www.sanjeevkapoor.com/Recipe/Lobster-Butter-Garlic-Sanjeev-Kapoor-Kitchen-FoodFood.html
